ID_Kunde,Kundennr,Vorname_1,Vorname_2,Nachname,Anrede,PLZ,Strasse,Hausnr,Mail,Tel,Geschlecht,Geburtsdatum,Beruf,Titel,PersoNr,PersoValidTo
1,8366, Elias ,,Kaiser ,Herr,24619,Mozartstraße 8,,elias.kaiser@web.de,04323/829874,m,22.02.1988,Product Owner,Dr.,NPE20376,2021-05-27
2,9208,Elias,,König,Herr,54574,Mühlenstraße,1.0,elias.könig@gmail.com,06594/313132,M,28/07/1997,Sektions- und Präparationsassistent/in,,GMN18965,2024-01-26
3,3837,Moritz,, Müller ,Herr,1097,Eichendorffstraße,8.0,moritz.müller@gmail.com,0351/156882,m,1963-08-20,Data Analyst,,DNS52984,2022-11-05
4,7306,Leonie,, Herrmann,Frau,23923,Marktplatz,1.0,leonie.herrmann@web.de,038821/70723,w,07/07/1952,Senior/in ,,IXU64239,27.03.2025
5,4589,Elias ,,Krüger,Herr,55469,Kirchweg,4.0,elias.krüger@gmail.com,06766/872686,m,13.07.1995,Landwirt/in,,MJB45392,2025-01-15
6,4327,Lena,,Wolf ,Frau,21640,Römerstraße,10.0,lena.wolf@web.de,04163/844730,w,1946-11-22,Senior/in,,KND18409,2020-05-17
7,6571,Ben ,, Becker ,Herr,98744,Mühlenstraße 6,,ben.becker@t-online.de,036730/467286,Männlich,29.08.1936,Senior/in,,ZWA58726,2023-02-12
8,9382,Lara,,Schäfer,Frau,6647,Hauptstraße,2.0,lara.schäfer@gmail.com,034465/222258,W,10.05.1972,Filmeditor/in Videoeditor/in,,WMU20386,2024-04-11
9,4762,Niklas,, Lange ,Hr.,7980,Friedhofstraße,2.0,niklas.lange@web.de,036623/687285,m,1976-12-07,Fluglotse/Fluglotsin ,,ZFY07156,04.12.2025
10,3998, Emily ,,Schneider,Frau,39343,Sonnenstraße,7.0,emily.schneider@gmx.net,039050/693230,w,1947-07-28,Senior/in ,,FUZ35067,15.02.2023
11,7673,Noah,,Schmitt,Herr,6254,Feldstraße,10.0,noah.schmitt@gmx.net,034638/672685,m,1952-10-11, Senior/in ,,JBN67308,17/04/2023
12,7600,Emma,,Huber,Fr.,14772,Lindenstraße,1.0,emma.huber@web.de,03381/555886,Weiblich,2008-10-28,Kaufmann/frau im E-Commerce ,,IJU58612,2021-11-02
13,7334,Leon,,Mayer,Herr,1097,Lindenweg 4,,leon.mayer@t-online.de,0351/571926,m,1985-03-18,Personalreferent/in,,LCX98164,23/07/2025
14,8150,Emilia,,Meyer ,Frau,15711,Römerstraße,6.0,emilia.meyer@gmail.com,03375/382758,w,2004-10-11, Data Scientist,,ETB43068,2023-06-04
15,7287, Lina ,,Fuchs,Frau,17268,Lerchenweg,8.0,lina.fuchs@gmail.com,039887/784924,w,07.02.1959, Gesundheits- und Krankenpfleger/in,,TVD61708,18/08/2022
16,3433,Emma,,Wagner,Frau,39356,Tannenweg,10.0,emma.wagner@gmx.net,039055/531305,w,12/08/1991,Software Entwickler/in,Dr.,KJA62807,31.05.2023
17,8956,Hanna,, Koch ,Fr.,83364,Brückenstraße,4.0,hanna.koch@web.de,08666/478472,w,1981-07-18, Key Account Manager/in ,,WIM42098,2022-08-14
18,6086, Nele,,Schmid,Frau,15377,Birkenweg,6.0,nele.schmid@gmail.com,033437/726658,w,1996-06-10,Maler/in und Lackierer/in,,MBR13598,2020-05-29
19,3988,Sophie,,Zimmermann ,Frau,15518,Schützenstraße 8,,sophie.zimmermann@gmail.com,033607/785316,w,1941-09-24,Senior/in,,OQZ23971,2021-10-31
20,6639, Felix,,Meier,Herr,16306,Marienstraße,9.0,felix.meier@gmx.net,03332/497493,M,22.03.1994,Gesundheits- und Krankenpfleger/in,,FLH93506,2025-04-09
21,4076, Lea,, Krause ,Frau,25712,Lindenstraße,5.0,lea.krause@gmx.net,04825/106513,W,21.08.1992,Fluglotse/Fluglotsin ,,IYS29634,21/10/2025
22,6011,Julian,,Klein,Herr,15378,Heideweg,7.0,julian.klein@gmail.com,033434/401873,m,Thu May 28 2009,Filmeditor/in Videoeditor/in ,,SNG15390,27/05/2020
23,8403,Emma,,Hartmann,Frau,55546,Hauptstraße,10.0,emma.hartmann@web.de,06701/649192,w,2003-09-16,Business Analyst,,AWU65042,Sun Feb 14 2021
24,6489,Leonie ,,Werner,Frau,23758,Lindenstraße,7.0,leonie.werner@gmx.net,04361/670174,w,1941-07-21,Senior/in ,,KJC70385,2022-03-24
25,2755,Julian,,Schmidt,Herr,14715,Wiesenweg 3,,julian.schmidt@t-online.de,03386/327076,m,22.12.1925, Senior/in ,,LLH92057,2020-05-11
26,9122, Finn,,Schneider,Herr,8107,Birkenstraße,8.0,finn.schneider@t-online.de,037602/222016,M,1947-09-03,Senior/in,,DEV71825,2025-05-01
27,3237,Felix,,Krüger,Herr,10823,Kastanienweg,2.0,felix.krüger@gmx.net,030/203658,M,1979-03-14,Software Entwickler/in ,,PSV81726,2021-09-03
28,3452,Noah,,Zimmermann,Herr,89250,Amselweg,6.0,noah.zimmermann@web.de,07307/452012,m,18.07.1957,Konditor/in ,,ZMD73186,29.06.2025
29,5005, Laura ,,Wolf,Frau,56340,Kastanienweg,5.0,laura.wolf@gmail.com,06776/673571,W,28.09.1959,Data Analyst ,,DNY18764,2023-03-13
30,5690,Noah,,Bauer,Hr.,8309,Marktstraße,5.0,noah.bauer@gmx.net,037752/635185,Männlich,1992-07-22, Product Owner,,PRU52791,Thu Mar 31 2022
